username,rating,sentiment,date,review,clean_review
Miko Pangilinan,5,Positive,2026-04-11 00:35:59,thank you,thank
Abir Mahamud,5,Positive,2026-04-11 00:34:46,best service,best service
Alexis Centia,1,Negative,2026-04-11 00:25:38,ask may times for live agent but it seems that the system was so stupid that it can't even understand a simple question,ask may time live agent seems system stupid cant even understand simple question
Hamzah M. Suryansyah,1,Negative,2026-04-10 23:04:18,"Sama aja nih kek aplikasi sebelah, seenak jidat. Gw mesti nunggu 1 jam 30+ menit buat makanan gw sampe? Ini gw reservasi dulu kah?",sama aja nih kek aplikasi sebelah seenak jidat mesti nunggu jam menit buat makanan sampe ini reservasi dulu kah
Ian Starkey,5,Positive,2026-04-10 22:55:34,Accessibke and Reliable across multiple areas of Vietmam. Data only required via e-sim. highly recommend to anyone visiting Vietnam.,accessibke reliable across multiple area vietmam data required via esim highly recommend anyone visiting vietnam
Michael Joe Artiaga,1,Negative,2026-04-10 22:54:40,Wala manlang mga Voucher napaka mahal ng DF,wala manlang mga voucher napaka mahal
Alfonso Parita,5,Positive,2026-04-10 22:53:11,"thank you for the hardwork and perseverance of the delivery riders,even though the fuel prices are high,they continue to provide sevice. salute!!!",thank hardwork perseverance delivery riderseven though fuel price highthey continue provide sevice salute
Nilanka Wijewardana,1,Negative,2026-04-10 22:39:12,"useless app. verification pending for years, has some money also left in the wallet, nobody to talk to",useless verification pending year money left wallet nobody talk
Aditya Kuntjoro Adjie,1,Negative,2026-04-10 22:07:35,"Horrible experiences as a consumer with food provider partners, fake promotions, switch and bait tactics, and allowing bad businesses to take advantage of consumers with only minimal protection. Wouldn't recommend",horrible experience consumer food provider partner fake promotion switch bait tactic allowing bad business take advantage consumer minimal protection wouldnt recommend
William,1,Negative,2026-04-10 21:42:49,pas mau buka aplikasi loadingnya lamaaa banget ya ampun tolong diperbaiki,pa mau buka aplikasi loadingnya lamaaa banget ampun tolong diperbaiki
Theri Shankar,5,Positive,2026-04-10 21:27:53,best app,best
Stephen Marcus,3,Neutral,2026-04-10 21:23:38,"I really like Grab services, but have been deleting the application after using the app. Grab swamps my phone with trash communications, offers, and details about services I will never use. I have just tried turning off all the communication sliders to see if Grab can stop itself from cluttering MY phone with garbage. If I get unnecessary communications I will delete the app again. Stupid over the top sales marketing.",really like service deleting application using swamp phone trash communication offer detail service never tried turning communication slider see stop cluttering phone garbage unnecessary communication delete stupid top sale marketing
Firmansyah,1,Negative,2026-04-10 21:17:12,"apaan estimasi 30 mnt udh lewat 30 menit, estimasi berubah, gw mau makan woy, percuma ada opsi pengiriman standar dll. kalo ujung"" nya molor juga.",apaan estimasi mnt udh lewat menit estimasi berubah mau makan woy percuma ada opsi pengiriman standar dll kalo ujung nya molor juga
wernchoong Kuek,1,Negative,2026-04-10 21:11:19,monopoly in Malaysia leads to subpar responses to complaints. Food deliveries are overly priced with almost no accountability mechanisms.,monopoly malaysia lead subpar response complaint food delivery overly priced almost accountability mechanism
Bhejiel david Oliquino,5,Positive,2026-04-10 21:04:12,good,good
Sabahan Boys,5,Positive,2026-04-10 20:44:31,Terbaik,terbaik
Sarah Chen,1,Negative,2026-04-10 20:21:45,"This has to be one of the worst ride-hailing experiences I’ve ever had. The app itself is unreliable, drains your battery, and has some of the deadliest drivers ever. Grab does nothing about it, bc it's free money for them, while they make Taxis poorer. Grab's drivers will steer your life into a coffin!",worst ridehailing experience ive ever unreliable drain battery deadliest driver ever nothing free money make taxi poorer grab driver steer life coffin
Cassie Ellsworth,1,Negative,2026-04-10 19:44:43,"Grab Malaysia: This app is deliberately doubling the distances from restaurants to your location so that delivery fees become ridiculously high. Example: Actual distance shown by Google is 5km, but this app indicates 10km, so you pay double the delivery fee, PLUS peak-hour surcharge. Reporting this to the authorities.",malaysia deliberately doubling distance restaurant location delivery fee become ridiculously high example actual distance shown google indicates pay double delivery fee plus peakhour surcharge reporting authority
Cucu Cahyati,5,Positive,2026-04-10 19:41:05,banyak promo bagusssss,banyak promo bagusssss
Rizki Alya,5,Positive,2026-04-10 19:24:22,I'm very easy to bepergian dan membeli makanan,easy bepergian dan membeli makanan
ahmad riza,4,Positive,2026-04-10 19:12:48,lain internat di sekitar pasir gudang kurang bagus,lain internat sekitar pasir gudang kurang bagus
chit chit,5,Positive,2026-04-10 18:56:05,good,good
Mia Coleen Suarez,1,Negative,2026-04-10 18:27:27,Good,good
Certain Usage,1,Negative,2026-04-10 18:16:15,I tried to order food from the app and specifically ask for my delivery to be delivered face to face so i can take the food off the driver myself to prevent any accidental deliveries from being made. Yet the status of my order said it was completed with me already paying for it despite the fact that i have not received my food. This not only wasted my time but it also made me lose money from the delivery and i couldn't even ask for a refund because there isnt a proper place to ask for refund.,tried order food specifically ask delivery delivered face face take food driver prevent accidental delivery made yet status order said completed already paying despite fact received food wasted time made lose money delivery couldnt even ask refund isnt proper place ask refund
Roland Begaye,5,Positive,2026-04-10 18:03:28,love it,love
k y,1,Negative,2026-04-10 17:59:51,"PASTI KALO HUJAN SELALU GA DAPET DRIVER, PADA NIAT GA SIH CARI DUIT. SATU JAM SETENGAH LEBIH GA DAPET"" ASTAGA. BENERIN YA GRAB, KALO EMG NIAT CARI REJEKI GA USH MILIH""",pasti kalo hujan selalu dapet driver pada niat sih cari duit satu jam setengah lebih dapet astaga benerin kalo emg niat cari rejeki ush milih
Mizi Aziz,5,Positive,2026-04-10 17:31:50,"Grab has perfected the ""super app"" experience. The interface is clean despite having so many features rides, food, parcels, and even instant Cash Loans. It’s fast, secure, and the AI features genuinely make daily tasks easier. Truly an essential part of living in Southeast Asia.",perfected super experience interface clean despite many feature ride food parcel even instant cash loan fast secure feature genuinely make daily task easier truly essential part living southeast asia
Orland Miñoza,2,Negative,2026-04-10 17:28:49,"Your drivers should be punished everytime they confirm the ride, then after 10-15mins of waiting, they will juat cancel. It has happened to me too many times.",driver punished everytime confirm ride min waiting juat cancel happened many time
Monjur Rahman,5,Positive,2026-04-10 17:24:52,Baik,baik
Rahil Khan,5,Positive,2026-04-10 17:15:46,good service,good service
Tin,1,Negative,2026-04-10 17:15:09,"keeps getting error when unlinking payment method, bot still thinks the app I recently updated is outdated edit: even the response is a bit...Again I am having trouble UNLINKING a debit card...",keep getting error unlinking payment method bot still think recently updated outdated edit even response bitagain trouble unlinking debit card
Kenneth Bryan,5,Positive,2026-04-10 17:12:33,Suggestion: Please add 5-seater option in GrabCar especially with the rise of EV where units are on 5-seater or 7-seater. This will add options for the passengers and support electric vehicle drivers too.,suggestion add seater option grabcar especially rise unit seater seater add option passenger support electric vehicle driver
James Joseph,5,Positive,2026-04-10 16:22:22,Good comfortable ride. fully satisfied,good comfortable ride fully satisfied
najma,1,Negative,2026-04-10 16:11:13,lemot,lemot
Marie Wambua,5,Positive,2026-04-10 15:59:47,excellent service,excellent service
Christopher Perifimou,5,Positive,2026-04-10 15:51:27,great and quick service,great quick service
Muhammad Ali,4,Positive,2026-04-10 15:50:56,Wow good 👍 I think 🤔💬💬,wow good think
Janjan Franco,5,Positive,2026-04-10 15:50:52,very nice,nice
steve hedrington,5,Positive,2026-04-10 15:50:07,awesome app,awesome
Gu Gu,1,Negative,2026-04-10 15:30:11,"l33 taw"" soe tl ma see Kya nae",taw soe see kya nae
Kelly Rice (Corntest Travels),5,Positive,2026-04-10 15:14:10,My go to for transportation around Hua Hin. Been here 5 months and never felt like I needed to rent or buy a motorcycle.,transportation around hua hin month never felt like needed rent buy motorcycle
noor alisa,5,Positive,2026-04-10 14:45:59,"I use Grab all the time. Did you know? It’s super convenient for rides and food delivery, and everything just feels quick and easy!",time know super convenient ride food delivery everything feel quick easy
Hafiz Fauzhi,5,Positive,2026-04-10 14:41:56,"I give 5 stars on Grab 👍 driver friendly and ride was smooth, thank you!",give star driver friendly ride smooth thank
Zar Ni,5,Positive,2026-04-10 14:30:47,safe,safe
Siti fatimah Siti,5,Positive,2026-04-10 13:45:30,Excellent,excellent
Aatish Magar,4,Positive,2026-04-10 13:17:03,Good,good
Lola Bee,5,Positive,2026-04-10 13:14:28,"Grab is my ultimate ""everything app"" because it makes daily life so much easier. I use it for everything from booking quick rides to ordering food, and I love the new feature that lets me combine orders from different places into one delivery! It’s reliable, the payments are seamless, and it’s truly the one app I need for almost any task.",ultimate everything make daily life much easier everything booking quick ride ordering food love new feature let combine order different place delivery reliable payment seamless truly need almost task
Carolina Cacayuran,5,Positive,2026-04-10 13:13:17,im greatful to ride in your service.. convenient..,greatful ride service convenient
Nazah Tasfia,5,Positive,2026-04-10 13:03:42,"LOVEE USING THIS app! Super easy to use, fast, and very reliable. The interface is clean and everything works smoothly without any issues. It’s made ORDERING FOOD so much more convenient and enjoyable. Highly recommend it to everyone!",lovee using super easy fast reliable interface clean everything work smoothly without issue made ordering food much convenient enjoyable highly recommend everyone
Md Hakim,4,Positive,2026-04-10 12:54:45,very god,god
Henrik,4,Positive,2026-04-10 12:42:13,No option for contacting Grab directly regarding their service as opposed to the service provider. customized tip amounts seem to default to a different currency than where the service took place. beware!,option contacting directly regarding service opposed service provider customized tip amount seem default different currency service took place beware
Rizal Dwi Cahyo,1,Negative,2026-04-10 12:42:07,I think Grab Food is the worst food delivery service ever!,think food worst food delivery service ever
Len dela Cruz,2,Negative,2026-04-10 12:34:48,"Switching to Metromart, Pickaroo & Lazmart. Annoying default replacement that you have to remove one by one!!!",switching metromart pickaroo lazmart annoying default replacement remove
Adrin Genius,5,Positive,2026-04-10 12:12:30,good app !!!!,good
Ganesh Nathan,5,Positive,2026-04-10 12:01:03,good👍,good
Uma Arumugam,5,Positive,2026-04-10 11:44:33,service was so good 👍,service good
Angel Magistrado,3,Neutral,2026-04-10 11:43:42,Super very good,super good
Catherine Andrea Lowis,1,Negative,2026-04-10 11:26:23,transaksi booking tidak muncul di Activity sehingga tidak bisa lapor dana yang masih tertahan akibat cancel booking. and there's no other way to contact for support. please fix this,transaksi booking tidak muncul activity sehingga tidak bisa lapor dana yang masih tertahan akibat cancel booking there way contact support fix
Anarul Islam,5,Positive,2026-04-10 11:05:16,Ok,
Dipta Pradnyana,1,Negative,2026-04-10 10:47:29,the forced ads are too frequent,forced ad frequent
Ouyang Yong,5,Positive,2026-04-10 10:26:49,memudahkan saya pergi ke mana sahaja,memudahkan saya pergi mana sahaja
Jeesalou Eboran,3,Neutral,2026-04-10 09:57:23,"it's nice may iba pa palang E Wallet Dito Akala ko dalawa lang Ang wallet Hindi pala..,🙂😊",nice may iba palang wallet dito akala dalawa lang ang wallet hindi pala
Marmar Galit,5,Positive,2026-04-10 09:11:27,nkaka truma ka grab. sa totoo lng may mga user ka na ndi marunong lumaban Ng patas nag tatrabaho aq sa Isang fast food restaurants Mang Inasal Yung pagod q sa 8 hours duty kulang pa pambayad na lintik mong refund sa mga customers mo na ndi marunong lumaban Ng patas sana lng Bago kayo mag refund nag investigate Muna kayo kawawa kaming mga nag tatrabaho Ng patas tpos na uuwi lng sa wala bung pagod nmin kulang pa,nkaka truma totoo lng may mga user ndi marunong lumaban patas nag tatrabaho isang fast food restaurant mang inasal yung pagod hour duty kulang pambayad lintik mong refund mga customer ndi marunong lumaban patas sana lng bago kayo mag refund nag investigate muna kayo kawawa kaming mga nag tatrabaho patas tpos uuwi lng wala bung pagod nmin kulang
Azmey Rosli,5,Positive,2026-04-10 08:58:39,terima kasih,terima kasih
Lea Fae Diaz,2,Negative,2026-04-10 07:24:54,We booked a ride in Manila but the location isn't accurate. We ended up going to a place with dead end.,booked ride manila location isnt accurate ended going place dead end
ramlal mahato,1,Negative,2026-04-10 06:15:12,thank,thank
Emily Berríos,5,Positive,2026-04-10 02:18:45,surprisingly easy and convenient!,surprisingly easy convenient
Phia May Vien Caranzo,5,Positive,2026-04-10 02:01:40,very nice service,nice service
chitaljit heigrujam,5,Positive,2026-04-10 01:53:20,very good service,good service
Anton Magnaye,1,Negative,2026-04-10 01:02:52,never use this app. unsafe and always wrong order,never unsafe always wrong order
michelle mariano,5,Positive,2026-04-10 00:37:44,what about having a tip that range from 1 to 10 or put an option to put an amount to enter to tip. thanks!,tip range put option put amount enter tip thanks
Rahul Kumar,5,Positive,2026-04-10 00:33:22,very useful application,useful application
Charles Mattew A.Deleon,4,Positive,2026-04-10 00:14:58,"I really like this app because even in the middle of the night, I can still order food to satisfy my cravings. though there's some bug or errors like my food got switched but it was rare to happen so I rate it 4/5",really like even middle night still order food satisfy craving though there bug error like food got switched rare happen rate
Andrew Katai,3,Neutral,2026-04-10 00:02:02,arrived late and failed to arrive at delivery promise ! no compensation??? over 800 baht for late very cold food ! not good enough !!!,arrived late failed arrive delivery promise compensation baht late cold food good enough
Ei Yamone Hpoo,1,Negative,2026-04-09 23:59:22,အရင်ကအဆင်ပြေသလောက် အခုနောက်ပိုင်း ကားသမားတွေက အဆင့်မရှိတာတွေများပြီး သူတို့မလာနိုင်တာကို အကြာကြီးစောင့်ခိုင်းတယ် ပြီးကျcancelကို passenger ကိုလုပ်ခိုင်းတယ်။ မလုပ်ပေးရင် ဆဲဆိုရိုင်းစိုင်းတယ်။ အရေးယူ တာဝန်ယူပေးမှုလည်း Grabကမလုပ်ပေးဘူး။ ဘယ်မှလည်းတိုင်မရဘူး။ တော်တော်စိတ်ပျက်ဖို့ကောင်းတယ်,cancel passenger
Chickenfeet,1,Negative,2026-04-09 23:27:50,scam,scam
Megumi Nakashima,1,Negative,2026-04-09 22:51:55,"If there's zero star, I would rate it at zero. I ordered in grab and paid it via e-money. my order never arrived and the driver took it. when I asked for a refund they only refunded 50% WHAT THE HELL!? IT WAS MY MONEY, THE RIDER TOOK MY ORDER (ATE/DRINK IT) AND NOW IT WILL END UP AS IF I PAID THE FOOD FOR THE RIDER TO DRINK INSTEAD. I understand if the delivery fee won't be refunded, BUT THE MONEY I PAID FOR THE FOOD ITSELF WON'T BE RETURNED... THAT'S RIDICULOUS AND UNFAIR!",there zero star rate zero ordered paid via emoney order never arrived driver took asked refund refunded hell money rider took order atedrink end paid food rider drink instead understand delivery fee wont refunded money paid food wont returned thats ridiculous unfair
isya awie,5,Positive,2026-04-09 22:33:12,its convenient for transport and food delivery. the app is easy to use and provides a safe and reliable service,convenient transport food delivery easy provides safe reliable service
Cyrrile Carbonell,1,Negative,2026-04-09 21:46:35,"expensive fares, crazy",expensive fare crazy
mdshamim reza,5,Positive,2026-04-09 21:43:34,best,best
Clara Clarke,5,Positive,2026-04-09 21:40:12,Excellent thanks,excellent thanks
Ivan Budiman,5,Positive,2026-04-09 21:21:33,"beda sama aplikasi ijo sebelah, yang ini lebih bagus lebih customer-friendly baik dari tim Grab dan mitra drivernya 👍",beda sama aplikasi ijo sebelah yang ini lebih bagus lebih customerfriendly baik dari tim dan mitra drivernya
ธีรสิทธิ์ ศรีพรม,5,Positive,2026-04-09 21:13:31,สั่งของกินอหร่อย,
Minna Girl,5,Positive,2026-04-09 21:09:11,"I’ve been using this app for a while and it’s very convenient. Easy to book rides and order food, and the service is usually reliable.",ive using convenient easy book ride order food service usually reliable
Muhammad Akmal,5,Positive,2026-04-09 21:06:02,Grab app is best for texi and food delivery,best texi food delivery
Jovial Ramos,5,Positive,2026-04-09 20:48:51,Convenient for rides and food delivery. Easy to book and track.,convenient ride food delivery easy book track
enjigoo Elkono,1,Negative,2026-04-09 20:32:59,EXPENSIVE GRAB UNLIMITED USELESS,expensive unlimited useless
Lin Linaung4392,5,Positive,2026-04-09 20:32:40,super good,super good
Asyraff Black,5,Positive,2026-04-09 20:26:22,sempoi,sempoi
Asma Hofra,1,Negative,2026-04-09 20:13:41,"whatever you do, do not use grab food in Malaysia.",whatever food malaysia
Joanne Kremmer,5,Positive,2026-04-09 20:05:51,good rides with friendly and polite drivers.,good ride friendly polite driver
QISYA KHADEEJA 2,1,Negative,2026-04-09 20:03:37,susah giler nak cancel grab food order ke apa...giler ssh,susah giler nak cancel food order apagiler ssh
JIK TAN,5,Positive,2026-04-09 19:57:38,very good,good
Minh Dương,1,Negative,2026-04-09 19:43:37,mãi thua xanh. chỉ biết vào ghép công thức xong hút tiền chả quan tâm gì về cải thiện trải nghiệm của cả khách hàng lẫn tài xế.,thua xanh bit ghp cng thc xong tin quan thin tri nghim khch hng
Amiel Garcia,1,Negative,2026-04-09 19:40:19,Food delivery were always delayed!,food delivery always delayed
Yanguu,1,Negative,2026-04-09 19:16:29,"Mana udh mahal, ngasih driver 15menit keatas away. ???",mana udh mahal ngasih driver menit keatas away
Isaik Isaik Mahamad,5,Positive,2026-04-09 19:01:06,all good,good
Pro Player,5,Positive,2026-04-09 18:51:56,good👍,good
Allyssamae Lawiyan,5,Positive,2026-04-09 18:28:47,"this grab makes my life easier. helps me too much, everything you need in rush thanks",make life easier help much everything need rush thanks
Tanishka,5,Positive,2026-04-09 18:15:42,"Very convenient for rides, food delivery, and payments. Reliable service and user-friendly interface. Makes daily life easier",convenient ride food delivery payment reliable service userfriendly interface make daily life easier
hello kitty,1,Negative,2026-04-09 18:07:33,driver ask to cancel. but i as a cust need to pay RM3. lol shame on u grab,driver ask cancel cust need pay lol shame
Wilson Sia,5,Positive,2026-04-09 17:34:38,Good delivery and friend rider,good delivery friend rider
Sahidah Razali,1,Negative,2026-04-09 17:18:18,"This support experience was extremely frustrating. There was no clear explanation given, and the chat was ended suddenly. The issue was urgent and affected my ability to use Grab. I expect clearer communication and proper assistance when reaching out for help.",support experience extremely frustrating clear explanation given chat ended suddenly issue urgent affected ability expect clearer communication proper assistance reaching help
Thuch Key,5,Positive,2026-04-09 16:53:39,good luck,good luck
Vincent Surya,1,Negative,2026-04-09 16:43:29,"SUDAH MENUNGGU DRIVER BEGITU LAMA, DRIVER BISA CANCEL DAN OPER SAYA KE DRIVER LAIN, SAAT SAYA MAU CANCEL DRIVER BEGITU LAMA TETAPI TIDAK BISA, YANG ADIL LAH !",sudah menunggu driver begitu lama driver bisa cancel dan oper saya driver lain saat saya mau cancel driver begitu lama tetapi tidak bisa yang adil lah
Nurul Najwa,5,Positive,2026-04-09 16:34:38,i enjoy using this app daily,enjoy using daily
Noah Teshikama,5,Positive,2026-04-09 16:32:53,got my drink early:>,got drink early
Rita Mandal,5,Positive,2026-04-09 16:13:42,This app is very good and useful for all.... specially for students.... This app save life.,good useful specially student save life
Minda and Romy Panday,5,Positive,2026-04-09 15:42:42,book this grab. He is excellent driver.,book excellent driver
Shah Firo,5,Positive,2026-04-09 15:35:18,good driver,good driver
Adrian Jayadiputra,1,Negative,2026-04-09 15:26:51,Lho kok dihapus komentar saya? Betul berarti ya cara scam minuman gratis lewat aplikasi ini ? 😂😂😂😂😂,lho kok dihapus komentar saya betul berarti cara scam minuman gratis lewat aplikasi ini
annie Yap,5,Positive,2026-04-09 15:17:49,"So convenient! I just learned how to use it. Thank you, my dear son ❤️ who teached me to use grab",convenient learned thank dear son teached
Arthur Kwan,1,Negative,2026-04-09 14:57:52,"There used to be an option in the app to tip grabfood drivers 10baht but it's gone now, why change?",used option tip grabfood driver baht gone change
wysen tee,1,Negative,2026-04-09 14:54:30,"Disappointed on grab food order. continuous multiple time that after placing order, no rider is taking up the order after 50 minutes! very difficult to reach customer support for cancellation as auto cancel is not allowed.",disappointed food order continuous multiple time placing order rider taking order minute difficult reach customer support cancellation auto cancel allowed
cweet sweet,1,Negative,2026-04-09 14:47:20,I Dont Why I was bannef from grab.. Just Want to use app ... so sad,dont bannef want sad
Catherine Dela cruz,5,Positive,2026-04-09 14:40:15,masarap siya subra,masarap siya subra
Peter Lewinsky,5,Positive,2026-04-09 14:12:48,excellent service by driver,excellent service driver
Pauu Lenee,5,Positive,2026-04-09 14:03:30,very good,good
Tony Nguyen,1,Negative,2026-04-09 14:00:00,Horrible service and it's getting worse. Ordering a meal from a restaurant 10mins drive took me 2 hours waiting. AI support is not helping and live agent is just waiting to close the chat.,horrible service getting worse ordering meal restaurant min drive took hour waiting support helping live agent waiting close chat
Wee Hong Tan,1,Negative,2026-04-09 13:46:38,Grab customer service support sucks. I cant get help to disable the grab pay later which is causing alot of inconvenience. topping up to Grab Wallet and encounter issues with QR Code and CC topup. keep telling me I need set validation without tell me where can I do it.,customer service support suck cant help disable pay later causing alot inconvenience topping wallet encounter issue code topup keep telling need set validation without tell
Yi Joe,2,Negative,2026-04-09 13:39:51,"The message displayed that the driver was nearby and i waited 30 minutes, only for the driver to keep getting farther away and completely stop moving.",message displayed driver nearby waited minute driver keep getting farther away completely stop moving
eiswe swe,5,Positive,2026-04-09 13:34:30,good app,good
Aaditya Sain,5,Positive,2026-04-09 13:21:14,nice,nice
Joe Cesar Medina (Jay),1,Negative,2026-04-09 13:07:59,useless app.,useless
Spade XI,1,Negative,2026-04-09 12:49:48,"I loved this app because of the convenience it provided. But now that I'm living in a different location I'm having problems with it. The usual features such as Car, Food, Mart, etc. isn't showing on my dashboard. Tried creating a ticket for it and those features showed up only for a few hours on that day, then disappeared again afterwards.",loved convenience provided living different location problem usual feature car food mart etc isnt showing dashboard tried creating ticket feature showed hour day disappeared afterwards
Zion Allag,5,Positive,2026-04-09 12:34:08,App has improved over the years!,improved year
George Sanchez,1,Negative,2026-04-09 11:23:23,"vouchers are only up for a few minutes. by the time you make an order, they suddenly become unavailable. this happens almost everytime i order food. foodpanda better.",voucher minute time make order suddenly become unavailable happens almost everytime order food foodpanda better
KhinThiri Win,1,Negative,2026-04-09 11:15:13,"This app is really terrible. It’s completely unusable. The drivers take advantage of customers—they accept the ride request but don’t come to pick you up. Instead, they ask the customer to cancel the order, and the customer ends up having to pay a 1,000 kyat cancellation fee.",really terrible completely unusable driver take advantage customersthey accept ride request dont come pick instead ask customer cancel order customer end pay kyat cancellation fee
Maria,5,Positive,2026-04-09 10:58:34,"service always give their best, you can see how grab give improvement to meet the needs for both. making life easier.",service always give best see give improvement meet need making life easier
Gim Theng Wee,5,Positive,2026-04-09 09:53:09,He was very professional and helpful!,professional helpful
MRC_Randy Robante,5,Positive,2026-04-09 09:05:43,very easy to use,easy
Blezzy Arcenabusog,5,Positive,2026-04-09 08:29:04,nice,nice
Nurulbahtiah Mahmud Mahayudin,3,Neutral,2026-04-09 07:53:45,"When using grab car, cannot select no tol road. many time the total cost plus tol kinda hidden cost that we not aware. driver follow the route based on grab apps. please add this features, non traffic time can use normal road no need use tol. driver can decide to accept or not",using car select tol road many time total cost plus tol kinda hidden cost aware driver follow route based apps add feature non traffic time normal road need tol driver decide accept
Mackenzie Andrian,5,Positive,2026-04-09 06:08:07,I really love this transportation app so far. There's really play such a good roles and runs a great business.,really love transportation far there really play good role run great business
Frederick Burkle,4,Positive,2026-04-09 05:24:09,app doesn't do a good job of showing driver my location,doesnt good job showing driver location
nabaya crisanta,5,Positive,2026-04-09 00:31:52,great job,great job
Maxx Zhe Ming Cheong,1,Negative,2026-04-09 00:25:42,Recently i have a very bad experience on my previous ride from airport to home. First，i order the grab and due to the long duration for driver to confirm，i cancelled it and order again after a few minutes. Then，the grab driver again take a long duration to confirm so i cancelled it again. But after a few minutes，grab driver suddenly call me and said he has arrived. Why does it happened？Also the fee from airport to my home when i order was only RM17，why end up grab deduct RM32 from my wallet？,recently bad experience previous ride airport home firsti order due long duration driver confirmi cancelled order minute thenthe driver take long duration confirm cancelled minutesgrab driver suddenly call said arrived happenedalso fee airport home order rmwhy end deduct wallet
jenara's art and more,5,Positive,2026-04-09 00:22:42,super ease of navigation. extremely intuitive and high available and very deterministic,super ease navigation extremely intuitive high available deterministic
Karma Alfie Herradura,1,Negative,2026-04-09 00:04:10,Your lack of concern with how your driver treated Xyril Manabat is disgusting. Mahal na nga ng pamasahe nyo nag eemploy pa kayo ng mga kupal at manyak.,lack concern driver treated xyril manabat disgusting mahal nga pamasahe nyo nag eemploy kayo mga kupal manyak
nagaraja nagaraja,5,Positive,2026-04-08 23:53:35,great app for transport and food delivery,great transport food delivery
Líder MARTÍNEZ,5,Positive,2026-04-08 21:58:07,La mejor app para disfrutar tu estadía en Southeast Asia,mejor para disfrutar estada southeast asia
TheProblemChild,5,Positive,2026-04-08 20:47:05,A+,
Blue Blue,5,Positive,2026-04-08 20:45:51,good,good
Graham Woodward,5,Positive,2026-04-08 19:52:15,very polite,polite
Krishana Mr Krishna,5,Positive,2026-04-08 19:37:46,nice 👍👍,nice
adriana mohamad,1,Negative,2026-04-08 19:25:51,"bad experience, banyak kali saya kena dengan grab ni, dapat driver tunggu 10 minit cancel or finding new driver, once you accept customers just accept la. Bukan sekali saya kena every time I use grab kena macam ni, if tempat tu senang dapat driver takpe la, saya tunggu lama. Deserve 1 star, please improve your driver.",bad experience banyak kali saya kena dengan dapat driver tunggu minit cancel finding new driver accept customer accept bukan sekali saya kena every time kena macam tempat senang dapat driver takpe saya tunggu lama deserve star improve driver
H3llCat hellcat,5,Positive,2026-04-08 19:18:33,driver is fast and courteous. great service,driver fast courteous great service
Pandubagaskoro Nayotama,1,Negative,2026-04-08 19:18:14,ketika hujan mustahil dapat driver,ketika hujan mustahil dapat driver
Shidah Shahidah,5,Positive,2026-04-08 19:18:05,very good service,good service
Gabriel Emmanuel,1,Negative,2026-04-08 19:14:03,"Poor Help Centre, unable to help / resolve issue requested. Receive e-receipt valued different than payment made. Although repetitively explained and even requested to speak to support agent.. I just given up..",poor help centre unable help resolve issue requested receive ereceipt valued different payment made although repetitively explained even requested speak support agent given
Unholy Grave,1,Negative,2026-04-08 18:58:19,what's wrong with the connection in this app? i can play multiplayer games with a smoother experience with no lag spikes yet Grab can't even open or load the app correctly. fix your connection issues because it constantly pisses me off as it sets off at the worst times,whats wrong connection play multiplayer game smoother experience lag spike yet cant even open load correctly fix connection issue constantly piss set worst time
Serina Fan,2,Negative,2026-04-08 18:46:58,能不能准时送达食物可以不要一直推迟吗？我从5点叫餐到现在都还没到到底要怎样？尊重别人懂吗？到底有没有礼貌哦！,
Jay Calunsag,5,Positive,2026-04-08 18:42:31,excellent work🤟,excellent work
Arief Rahmat Saputra,1,Negative,2026-04-08 18:41:43,"kok ongkos grabbike farebid padang sehari naik, sehari turun, itu gimana ceritanya paman? kalau naik, naik aja paman gak usah turun. jadi bisa saya pindah ke aplikasi lain dan uninstall grab.",kok ongkos grabbike farebid padang sehari naik sehari turun itu gimana ceritanya paman kalau naik naik aja paman gak usah turun jadi bisa saya pindah aplikasi lain dan uninstall
Sheik Nizar,5,Positive,2026-04-08 18:08:20,nice,nice
ADNIZA ADNAN,5,Positive,2026-04-08 17:27:20,service terbaik,service terbaik
Ming Yong,5,Positive,2026-04-08 17:15:24,"great driver, polite",great driver polite
Geraldine Phasey,5,Positive,2026-04-08 16:54:58,safe driver and helpful with my luggage.,safe driver helpful luggage
Fadel A Rahman,2,Negative,2026-04-08 16:44:34,"Tolong edukasi driver2nya yg buang2 waktu fikir order fiktif,beri tanda atau apapun agar setiap akun terlihat bukan seperti yg fake",tolong edukasi drivernya buang waktu fikir order fiktifberi tanda atau apapun agar setiap akun terlihat bukan seperti fake
rafique daniel,1,Negative,2026-04-08 16:28:41,keeping postponing the ETA.. please remove the multiple delivery order..useless . am hungry,keeping postponing eta remove multiple delivery orderuseless hungry
ritchie apay,5,Positive,2026-04-08 16:27:09,Nice,nice
Rafata Altaf,1,Negative,2026-04-08 16:17:19,"saya pesen pagi untuk berangkat kerja aja susah padahal pesen mobil juga biar ga kehujanan. pelayanan publik kok kaya gini, makin lemot ya sekarang aplikasi nya",saya pesen pagi untuk berangkat kerja aja susah padahal pesen mobil juga biar kehujanan pelayanan publik kok kaya gini makin lemot sekarang aplikasi nya
May htet Paing,5,Positive,2026-04-08 15:52:32,အဆင်ပြေပါတယ်အများကြီးပိုပီးအောင်မ့င်ပါစေ,
Risye Rahmawati,3,Neutral,2026-04-08 15:43:01,sering error kenapa ya?,sering error kenapa
